Program	Optimization	K	Iterations	Threads	Time (ms)
OMP	O2	64	20	8	2149
OMP	O2	64	20	8	2228
OMP	O2	64	20	8	2132
OMP	O2	64	20	8	2187
OMP	O2	64	20	8	2164
OMP	O2	64	20	12	1658
OMP	O2	64	20	12	1405
OMP	O2	64	20	12	1603
OMP	O2	64	20	16	1133
OMP	O2	64	20	16	1174
OMP	O2	64	20	16	1190
OMP	O2	64	20	16	1113
OMP	O2	64	20	16	1077
OMP	O2	64	20	12	1671
OMP	O2	64	20	12	1629
OMP	O2	64	20	16	1935
OMP	O2	64	20	8	2172
OMP	O2	64	20	8	2275
OMP	O2	64	20	8	2371
OMP	O2	64	20	12	2690
OMP	O2	64	20	16	1048
OMP	O2	64	20	16	1216
OMP	O2	64	20	12	1449
OMP	O2	64	20	12	1738
OMP	O2	64	20	12	1373
OMP	O2	64	20	8	2135
OMP	O2	64	20	16	2158
OMP	O2	64	20	8	2458
OMP	O2	64	20	8	2375
OMP	O2	64	20	48	467
OMP	O2	64	20	24	713
OMP	O2	64	20	16	1195
OMP	O2	64	20	32	1068
OMP	O2	64	20	64	610
OMP	O2	64	20	64	460
OMP	O2	64	20	64	627
OMP	O2	64	20	64	627
OMP	O2	64	20	64	324
OMP	O2	64	20	64	687
OMP	O2	64	20	64	294
OMP	O2	64	20	64	404
OMP	O2	64	20	64	640
OMP	O2	64	20	64	338
OMP	O2	64	20	48	435
OMP	O2	64	20	48	712
OMP	O2	64	20	48	385
OMP	O2	64	20	48	492
OMP	O2	64	20	48	808
OMP	O2	64	20	48	506
OMP	O2	64	20	48	782
OMP	O2	64	20	48	452
OMP	O2	64	20	48	415
OMP	O2	64	20	32	1054
OMP	O2	64	20	32	1109
OMP	O2	64	20	32	578
OMP	O2	64	20	32	575
OMP	O2	64	20	32	612
OMP	O2	64	20	32	608
OMP	O2	64	20	32	1127
OMP	O2	64	20	32	1095
OMP	O2	64	20	24	719
OMP	O2	64	20	32	577
OMP	O2	64	20	24	769
OMP	O2	64	20	24	779
OMP	O2	64	20	16	576
OMP	O2	64	20	24	1312
OMP	O2	64	20	24	1404
OMP	O2	64	20	24	770
OMP	O2	64	20	16	551
OMP	O2	64	20	16	1116
OMP	O2	64	20	24	794
OMP	O2	64	20	24	776
OMP	O2	64	20	16	1130
OMP	O2	64	20	24	781
OMP	O2	64	20	12	793
OMP	O2	64	20	16	1185
OMP	O2	64	20	16	994
OMP	O2	64	20	16	1114
OMP	O2	64	20	12	746
OMP	O2	64	20	16	1120
OMP	O2	64	20	16	2028
OMP	O2	64	20	12	1442
OMP	O2	64	20	8	1108
OMP	O2	64	20	8	1106
OMP	O2	64	20	12	1542
OMP	O2	64	20	8	2291
OMP	O2	64	20	12	1285
OMP	O2	64	20	12	1485
OMP	O2	64	20	8	2224
OMP	O2	64	20	8	2266
OMP	O2	64	20	8	2124
OMP	O2	64	20	12	1540
OMP	O2	64	20	8	2316
OMP	O2	64	20	12	1445
OMP	O2	64	20	4	4143
OMP	O2	64	20	12	1544
OMP	O2	64	20	8	2091
OMP	O2	64	20	2	4371
OMP	O2	64	20	12	1396
OMP	O2	64	20	4	4558
OMP	O2	64	20	4	4461
OMP	O2	64	20	2	4414
OMP	O2	64	20	8	2318
OMP	O2	64	20	2	4411
OMP	O2	64	20	2	8349
OMP	O2	64	20	4	7597
