Program	Optimization	K	Iterations	Threads	Time (ms)
OMP	O2	64	20	12	1348
OMP	O2	64	20	12	1406
OMP	O2	64	20	12	1477
OMP	O2	64	20	12	1595
OMP	O2	64	20	12	1600
OMP	O2	256	20	24	2684
OMP	O2	256	20	24	2795
OMP	O2	256	20	24	2898
OMP	O2	256	20	24	2830
OMP	O2	256	20	24	5185
OMP	O2	64	20	32	553
OMP	O2	64	20	32	572
OMP	O2	64	20	32	556
OMP	O2	64	20	32	563
OMP	O2	64	20	32	1086
OMP	O2	256	20	32	2009
OMP	O2	256	20	12	5540
OMP	O2	256	20	32	2040
OMP	O2	256	20	32	2058
OMP	O2	256	20	12	5495
OMP	O2	256	20	32	2126
OMP	O2	256	20	12	6019
OMP	O2	256	20	12	5684
OMP	O2	256	20	12	5862
OMP	O2	256	20	32	3585
OMP	O2	64	20	24	647
OMP	O2	64	20	24	769
OMP	O2	64	20	24	657
OMP	O2	64	20	24	759
OMP	O2	64	20	24	1410
OMP	O2	64	20	16	985
OMP	O2	64	20	16	1022
OMP	O2	64	20	16	1039
OMP	O2	64	20	16	1076
OMP	O2	64	20	16	1134
OMP	O2	256	20	16	4178
OMP	O2	256	20	16	4301
OMP	O2	256	20	16	4521
OMP	O2	256	20	16	4123
OMP	O2	256	20	16	4419
OMP	O2	64	20	8	2079
OMP	O2	64	20	8	2171
OMP	O2	64	20	8	2264
OMP	O2	64	20	8	2346
OMP	O2	64	20	8	3738
OMP	O2	64	20	4	4387
OMP	O2	64	20	4	4447
OMP	O2	64	20	4	4528
OMP	O2	256	20	8	7553
OMP	O2	64	20	4	7799
OMP	O2	256	20	8	8516
OMP	O2	64	20	2	8666
OMP	O2	256	20	8	8762
OMP	O2	256	20	8	9072
OMP	O2	256	20	8	9157
OMP	O2	64	20	2	8878
OMP	O2	64	20	4	8695
OMP	O2	64	20	2	9422
OMP	O2	64	20	2	9197
OMP	O2	64	20	2	9135
OMP	O2	256	20	4	16477
OMP	O2	256	20	4	16599
OMP	O2	64	20	64	296
OMP	O2	256	20	4	17044
OMP	O2	64	20	64	585
OMP	O2	64	20	1	16283
OMP	O2	64	20	1	15906
OMP	O2	256	20	4	17676
OMP	O2	64	20	1	17556
OMP	O2	256	20	4	17823
OMP	O2	64	20	1	17809
OMP	O2	256	20	64	1041
OMP	O2	64	20	1	18907
OMP	O2	256	20	64	1851
OMP	O2	64	20	64	295
OMP	O2	64	20	64	588
OMP	O2	256	20	64	985
OMP	O2	256	20	64	1885
OMP	O2	256	20	64	928
OMP	O2	256	20	64	1743
OMP	O2	64	20	64	326
OMP	O2	64	20	64	567
OMP	O2	256	20	64	979
OMP	O2	256	20	64	1821
OMP	O2	64	20	64	403
OMP	O2	64	20	64	656
OMP	O2	256	20	64	975
OMP	O2	256	20	2	32888
OMP	O2	256	20	64	1897
OMP	O2	64	20	64	300
OMP	O2	64	20	64	602
OMP	O2	64	20	48	469
OMP	O2	64	20	48	653
OMP	O2	256	20	48	2459
OMP	O2	256	20	48	1330
OMP	O2	64	20	48	404
OMP	O2	64	20	48	777
OMP	O2	256	20	48	1287
OMP	O2	256	20	2	32340
OMP	O2	256	20	2	33257
OMP	O2	256	20	48	2400
OMP	O2	256	20	48	1291
OMP	O2	64	20	48	419
OMP	O2	64	20	48	738
OMP	O2	256	20	2	34914
OMP	O2	256	20	2	36737
OMP	O2	256	20	48	1376
OMP	O2	256	20	48	2421
OMP	O2	64	20	48	405
OMP	O2	64	20	48	793
OMP	O2	64	20	48	388
OMP	O2	64	20	48	777
OMP	O2	256	20	48	1491
OMP	O2	64	20	32	578
OMP	O2	64	20	32	599
OMP	O2	256	20	48	1412
OMP	O2	256	20	48	2343
OMP	O2	64	20	32	609
OMP	O2	64	20	32	770
OMP	O2	256	20	1	55338
OMP	O2	256	20	1	64610
OMP	O2	256	20	1	71532
OMP	O2	256	20	1	70910
OMP	O2	256	20	1	70534
OMP	O2	256	20	32	2074
OMP	O2	64	20	32	555
OMP	O2	64	20	32	614
OMP	O2	256	20	32	2139
OMP	O2	64	20	32	575
OMP	O2	64	20	32	882
OMP	O2	64	20	32	748
OMP	O2	64	20	32	824
OMP	O2	256	20	32	2190
OMP	O2	256	20	32	3819
OMP	O2	256	20	32	1974
OMP	O2	256	20	32	2064
OMP	O2	256	20	32	1885
OMP	O2	256	20	32	2246
OMP	O2	64	20	24	749
OMP	O2	64	20	24	775
OMP	O2	256	20	32	1926
OMP	O2	256	20	32	2061
OMP	O2	256	20	24	2896
OMP	O2	256	20	24	2689
OMP	O2	64	20	24	654
OMP	O2	64	20	24	745
OMP	O2	64	20	24	717
OMP	O2	64	20	24	745
OMP	O2	256	20	24	2538
OMP	O2	256	20	24	2787
OMP	O2	64	20	24	721
OMP	O2	64	20	24	740
OMP	O2	64	20	24	671
OMP	O2	64	20	24	796
OMP	O2	256	20	24	2952
OMP	O2	256	20	24	2673
OMP	O2	256	20	24	2822
OMP	O2	256	20	24	2830
OMP	O2	256	20	24	2749
OMP	O2	256	20	24	2851
