Program	Optimization	K	Iterations	Threads	Time (ms)
OMP 4K	O2	64	8	12	11218
OMP 4K	O2	64	16	12	21752
OMP 4K	O2	64	8	12	11626
OMP 4K	O2	64	16	12	22368
OMP 4K	O2	64	8	12	12295
OMP 4K	O2	64	8	12	13442
OMP 4K	O2	64	8	12	13296
OMP 4K	O2	64	16	12	22767
OMP 4K	O2	64	16	12	23480
OMP 4K	O2	64	16	12	26724
OMP 4K	O2	64	8	12	13159
OMP 4K	O2	64	16	12	22816
OMP 4K	O2	64	8	12	12358
OMP 4K	O2	64	8	12	12382
OMP 4K	O2	64	8	12	13908
OMP 4K	O2	64	8	12	24263
OMP 4K	O2	64	16	12	24766
OMP 4K	O2	64	16	12	25313
OMP 4K	O2	64	16	12	27088
OMP 4K	O2	64	16	12	27535
OMP 4K	O2	256	32	16	63673
OMP 4K	O2	256	32	16	64933
OMP 4K	O2	256	32	16	66217
OMP 4K	O2	256	32	16	67220
OMP 4K	O2	256	32	16	67966
OMP 4K	O2	256	32	16	116688
OMP 4K	O2	256	32	16	64667
OMP 4K	O2	256	32	16	64724
OMP 4K	O2	256	32	16	65862
OMP 4K	O2	256	32	16	66786
OMP 4K	O2	64	8	16	12591
OMP 4K	O2	64	8	16	12679
OMP 4K	O2	64	8	16	11809
OMP 4K	O2	64	8	16	12306
OMP 4K	O2	64	8	16	12257
OMP 4K	O2	64	8	16	11394
OMP 4K	O2	64	8	16	22550
OMP 4K	O2	64	8	16	11670
OMP 4K	O2	64	8	16	11874
OMP 4K	O2	64	8	16	11876
OMP 4K	O2	64	32	16	44857
OMP 4K	O2	64	32	16	46538
OMP 4K	O2	64	32	16	48396
OMP 4K	O2	64	32	16	50287
OMP 4K	O2	64	32	16	50689
OMP 4K	O2	64	32	16	87574
OMP 4K	O2	64	32	16	46252
OMP 4K	O2	64	32	16	46392
OMP 4K	O2	64	32	16	46612
OMP 4K	O2	64	32	16	46776
OMP 4K	O2	256	20	16	41129
OMP 4K	O2	256	20	16	42654
OMP 4K	O2	256	20	16	40148
OMP 4K	O2	256	20	16	40695
OMP 4K	O2	256	20	16	41431
OMP 4K	O2	256	20	16	41972
OMP 4K	O2	256	20	16	74578
OMP 4K	O2	256	20	16	40452
OMP 4K	O2	256	20	16	41381
OMP 4K	O2	256	20	16	41853
OMP 4K	O2	64	20	16	29601
OMP 4K	O2	64	20	16	29447
OMP 4K	O2	64	20	16	29171
OMP 4K	O2	64	20	16	29863
OMP 4K	O2	64	20	16	30731
OMP 4K	O2	64	20	16	59569
OMP 4K	O2	64	20	16	29184
OMP 4K	O2	64	20	16	30050
OMP 4K	O2	64	20	16	30438
OMP 4K	O2	64	20	16	30550
OMP 4K	O2	64	16	16	22545
OMP 4K	O2	64	16	16	23248
OMP 4K	O2	64	16	16	23710
OMP 4K	O2	64	16	16	23481
OMP 4K	O2	64	16	16	23503
OMP 4K	O2	64	16	16	24668
OMP 4K	O2	64	16	16	43709
OMP 4K	O2	64	16	16	23391
OMP 4K	O2	64	16	16	24205
OMP 4K	O2	64	16	16	24552
OMP 4K	O2	256	16	16	32928
OMP 4K	O2	256	16	16	31858
OMP 4K	O2	256	16	16	33595
OMP 4K	O2	256	16	16	31971
OMP 4K	O2	256	16	16	33050
OMP 4K	O2	256	16	16	59785
OMP 4K	O2	256	16	16	32168
OMP 4K	O2	256	16	16	32195
OMP 4K	O2	256	16	16	33473
OMP 4K	O2	256	16	16	33596
OMP 4K	O2	256	8	16	16403
OMP 4K	O2	256	8	16	15890
OMP 4K	O2	256	8	16	15999
OMP 4K	O2	256	8	16	17231
OMP 4K	O2	256	8	16	16531
OMP 4K	O2	256	8	16	16480
OMP 4K	O2	256	8	16	16862
OMP 4K	O2	256	8	16	16647
OMP 4K	O2	256	8	16	16725
OMP 4K	O2	256	8	16	29282
OMP 4K	O2	256	16	64	23397
OMP 4K	O2	256	16	64	27883
OMP 4K	O2	64	32	64	46810
OMP 4K	O2	64	32	64	47571
OMP 4K	O2	256	20	64	29634
OMP 4K	O2	256	20	64	34848
OMP 4K	O2	256	8	64	11761
OMP 4K	O2	256	8	64	14010
OMP 4K	O2	64	16	64	23226
OMP 4K	O2	64	16	64	27955
OMP 4K	O2	256	32	64	47154
OMP 4K	O2	256	32	64	48388
OMP 4K	O2	64	20	64	29504
OMP 4K	O2	64	20	64	34648
OMP 4K	O2	64	8	64	11751
OMP 4K	O2	64	8	64	12186
OMP 4K	O2	256	8	64	11808
OMP 4K	O2	256	8	64	13980
OMP 4K	O2	256	16	64	23539
OMP 4K	O2	256	16	64	27518
OMP 4K	O2	64	8	64	11663
OMP 4K	O2	64	32	64	46710
OMP 4K	O2	64	8	64	13625
OMP 4K	O2	64	32	64	48484
OMP 4K	O2	64	16	64	23576
OMP 4K	O2	64	16	64	27857
OMP 4K	O2	256	20	64	29377
OMP 4K	O2	256	20	64	30349
OMP 4K	O2	256	32	64	47552
OMP 4K	O2	64	20	64	29065
OMP 4K	O2	64	20	64	30310
OMP 4K	O2	256	32	64	56331
OMP 4K	O2	64	20	64	29466
OMP 4K	O2	64	20	64	29836
OMP 4K	O2	256	32	64	46821
OMP 4K	O2	256	32	64	54909
OMP 4K	O2	64	16	64	23178
OMP 4K	O2	256	8	64	11680
OMP 4K	O2	256	8	64	13992
OMP 4K	O2	64	16	64	24113
OMP 4K	O2	256	20	64	29231
OMP 4K	O2	64	8	64	11848
OMP 4K	O2	256	20	64	34617
OMP 4K	O2	64	8	64	12048
OMP 4K	O2	256	16	64	23591
OMP 4K	O2	64	32	64	45989
OMP 4K	O2	256	16	64	24343
OMP 4K	O2	64	32	64	55734
OMP 4K	O2	64	20	64	29614
OMP 4K	O2	64	20	64	29665
OMP 4K	O2	64	32	64	46768
OMP 4K	O2	64	32	64	55249
OMP 4K	O2	256	20	64	29506
OMP 4K	O2	256	20	64	34800
OMP 4K	O2	256	32	64	47076
OMP 4K	O2	256	32	64	48090
OMP 4K	O2	256	16	64	23685
OMP 4K	O2	256	16	64	27726
OMP 4K	O2	256	8	64	11783
