Program	Optimization	K	Iterations	Threads	Time (ms)
OMP	O2	64	20	8	3042
OMP	O2	64	20	8	3026
OMP	O2	64	20	8	3081
OMP	O2	64	20	8	3132
OMP	O2	64	20	4	4765
OMP	O2	64	20	4	4856
OMP	O2	64	20	4	4927
OMP	O2	64	20	4	5032
OMP	O2	64	20	4	5052
OMP	O2	64	20	8	6268
OMP	O2	64	20	2	8247
OMP	O2	64	20	2	8698
OMP	O2	64	20	2	8762
OMP	O2	256	20	8	8709
OMP	O2	64	20	2	8905
OMP	O2	256	20	8	8851
OMP	O2	64	20	2	9241
OMP	O2	256	20	8	9007
OMP	O2	256	20	8	9150
OMP	O2	256	20	8	9267
OMP	O2	64	20	1	16311
OMP	O2	64	20	1	16578
OMP	O2	64	20	1	16692
OMP	O2	256	20	4	17490
OMP	O2	256	20	4	17536
OMP	O2	256	20	4	17913
OMP	O2	64	20	1	18030
OMP	O2	64	20	1	18058
OMP	O2	256	20	4	31045
OMP	O2	256	20	4	31843
OMP	O2	256	20	2	31406
OMP	O2	256	20	2	32066
OMP	O2	256	20	2	32510
OMP	O2	256	20	2	33056
OMP	O2	256	20	2	34152
OMP	O2	256	20	1	57103
OMP	O2	256	20	1	62859
OMP	O2	256	20	1	64475
OMP	O2	256	20	1	65524
OMP	O2	256	20	1	67258
OMP	O3	64	20	8	2931
OMP	O3	64	20	8	2963
OMP	O3	64	20	8	2983
OMP	O3	64	20	8	3035
OMP	O3	64	20	8	3094
OMP	O3	64	20	4	4728
OMP	O3	64	20	4	4894
OMP	O3	64	20	4	4960
OMP	O3	64	20	4	4999
OMP	O3	64	20	4	5332
OMP	O3	64	20	2	8418
OMP	O3	64	20	2	8473
OMP	O3	64	20	2	8454
OMP	O3	64	20	2	8734
OMP	O3	64	20	2	8792
OMP	O3	256	20	8	9185
OMP	O3	256	20	8	9203
OMP	O3	256	20	8	9203
OMP	O3	256	20	8	9470
OMP	O3	64	20	1	15332
OMP	O3	64	20	1	16535
OMP	O3	256	20	8	16472
OMP	O3	256	20	4	16795
OMP	O3	64	20	1	17195
OMP	O3	256	20	4	17252
OMP	O3	64	20	1	17449
OMP	O3	64	20	1	17696
OMP	O3	256	20	4	17647
OMP	O3	256	20	4	30671
OMP	O3	256	20	4	31244
OMP	O3	256	20	2	33135
OMP	O3	256	20	2	33735
OMP	O3	256	20	2	34633
OMP	O3	256	20	2	35277
OMP	O3	256	20	2	35405
OMP	O3	256	20	1	57785
OMP	O3	256	20	1	59952
OMP	O3	256	20	1	65952
OMP	O3	256	20	1	66708
OMP	O3	256	20	1	67377
OMP	O1	64	20	8	2761
OMP	O1	64	20	8	2995
OMP	O1	64	20	4	4780
OMP	O1	64	20	4	4781
OMP	O1	256	20	8	8782
OMP	O1	256	20	8	8786
OMP	O1	64	20	2	8785
OMP	O1	64	20	2	8784
OMP	O1	64	20	1	16875
OMP	O1	64	20	1	16871
OMP	O1	256	20	4	17553
OMP	O1	256	20	4	17562
OMP	O1	256	20	2	33310
OMP	O1	256	20	2	33316
OMP	O1	256	20	1	66226
OMP	O1	256	20	1	66419
OMP	O0	64	20	8	4640
OMP	O0	64	20	8	4653
OMP	O0	64	20	4	9229
OMP	O0	64	20	4	9271
OMP	O0	256	20	8	16063
OMP	O0	256	20	8	16079
OMP	O0	64	20	2	17256
OMP	O0	64	20	2	17332
OMP	O0	256	20	4	32095
OMP	O0	256	20	4	32086
OMP	O0	64	20	1	38887
OMP	O0	64	20	1	38918
OMP	O0	256	20	2	60812
OMP	O0	256	20	2	60981
OMP	O0	256	20	1	122575
OMP	O0	256	20	1	122951
OMP	O0	64	20	8	4640
OMP	O0	64	20	8	4643
OMP	O0	64	20	8	4661
OMP	O0	64	20	4	9285
OMP	O0	64	20	4	9314
OMP	O0	64	20	4	9332
OMP	O0	64	20	2	16979
OMP	O0	64	20	2	16999
OMP	O0	64	20	2	16996
OMP	O0	64	20	1	31474
OMP	O0	64	20	1	32318
OMP	O0	64	20	1	58348
OMP	O1	64	20	8	2714
OMP	O1	64	20	8	2975
OMP	O1	64	20	8	3008
OMP	O1	64	20	4	4742
OMP	O1	64	20	4	4767
OMP	O1	64	20	4	4767
OMP	O1	64	20	2	8571
OMP	O1	64	20	2	8576
OMP	O1	64	20	2	8583
OMP	O1	64	20	1	14602
OMP	O1	64	20	1	16927
OMP	O1	64	20	1	16927
